id,user_id,name,url_part,accessory
89528,4586536,"Samsung Galaxy J7 Dual Sim SM-J700F",samsung_galaxy_j7_dual_sim,
89532,4586052,"Apple iPhone X",apple_iphone_x,
89572,4585223,"Xiaomi Mi Max 2 4/64",xiaomi_mi_max_2,
89573,4585223,"UleFone Power",ulefone_power,
89574,4585223,"Highscreen Boost 2 SE",highscreen_boost_2_se,
89629,4582933,"Nokia 3210",nokia_3210,"Meizu HD50"
89664,4581622,"Leagoo M8",leagoo_m8,
89786,4576712,"Apple iPad Air Wi-Fi + Cellular",apple_ipad_air:wi_fi_cellular,
89787,4576712,"Apple iPhone SE",apple_iphone_se,
89790,4576540,"Oukitel K3",oukitel_k3,
89791,4576540,"ZTE V975 Geek",zte_v975_geek,
89792,4576540,"Samsung Galaxy A3 SM-A300",samsung_sm_a300_galaxy_a3,
89798,4576188,"Jiayu G4S Advanced",jiayu_g4s_advenced,
89810,4575588,"Asus ZenFone 5",asus_zenfone_5,
89812,4575561,"Google Nexus 6P",google_nexus_6p,
89813,4575561,"Sony Xperia Z",sony_xperia_z,
89814,4575561,"Apple iPhone 5s",apple_iphone_5s,
89837,4574790,"Lenovo A850+",lenovo_a850_plus,
89873,4572817,"OnePlus 5 6/64",oneplus_5,
89964,4568372,"ZTE Blade L3",zte_blade_l3,
89983,4567693,"Asus ZenFone 2 ZE550ML",asus_zenfone_2:ze550ml,
89984,4567693,"Google Nexus 7",google_nexus_7,
90001,4566624,"Explay Fresh",explay_fresh,
90055,4564793,"Xiaomi Redmi 5 Plus 4/64",xiaomi_redmi_5_plus:4_64,
90069,4564148,NULL,,
90096,4562917,"Thl 4000",thl_4000,
90107,4562201,"Samsung Galaxy Tab 3 7.0 LTE",samsung_galaxy_tab_3_7_0:lte,
90108,4562201,"ZTE Grand X Quad",zte_grand_x_quad,
90116,4561828,"Nokia N8",nokia_n8,
90119,4561619,"Xiaomi Redmi 4X 3/32",xiaomi_redmi_4x:3_32,
90224,4558495,"Jiayu S1",jiayu_s1,
90227,4558388,"Samsung Galaxy Note 10.1",samsung_galaxy_note_10_1,
90228,4558388,"МТС Smart Sprint 4G",mts_smart_sprint_4g,
90234,4558187,NULL,,
90264,4556922,"Xiaomi Mi 5",xiaomi_mi5,
90265,4556922,"Google Nexus 5X",google_nexus_5x,Бутлуп...
90266,4556922,"LG Optimus L5",lg_optimus_l5,
90295,4555594,"HTC Desire 616 Dual Sim",htc_desire_616_dual_sim,
90296,4555594,"Sony Xperia XA",sony_xperia_xa,
90297,4555594,"LG G4c H522Y",lg_g4c:h522y,
90298,4555594,"Explay X-Tremer",explay_x_tremer,
90321,4554996,"OnePlus One",oneplus_one,
90415,4550665,"Samsung Galaxy J1 mini SM-J105H",samsung_galaxy_j1_mini_sm_j105h,
90462,4549494,"Phicomm Clue 630",phicomm_clue_630,
